molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units
CHEMBL305246,Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,750.0,nM
CHEMBL69966,C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,IC50,18.0,nM
CHEMBL69966,C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,IC50,40.0,nM
CHEMBL69966,C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,IC50,620.0,nM
CHEMBL47940,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1,IC50,3200.0,nM
CHEMBL57712,N#CC(C#N)=Cc1cc[n+]([O-])cc1,IC50,1300000.0,nM
CHEMBL77869,COc1cc(C=C(C#N)C#N)ccc1O,IC50,200000.0,nM
CHEMBL77869,COc1cc(C=C(C#N)C#N)ccc1O,Ki,67000.0,nM
CHEMBL69358,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,IC50,1.2,nM
CHEMBL69358,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,IC50,200.0,nM
CHEMBL69358,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,IC50,1290.0,nM
CHEMBL137189,C/N=N/Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,IC50,200.0,nM
CHEMBL137617,C/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,IC50,39.0,nM
CHEMBL137027,CN(C)/N=N/c1ccc2ncnc(NCc3ccccc3)c2c1,IC50,482.0,nM
CHEMBL78257,N#CC(C#N)=C(N)/C(C#N)=C/c1cc(O)c(O)c(O)c1,IC50,800.0,nM
CHEMBL78257,N#CC(C#N)=C(N)/C(C#N)=C/c1cc(O)c(O)c(O)c1,Ki,,nM
CHEMBL76082,N#CC(C#N)=Cc1cc2c(cc1[N+](=O)[O-])OCO2,IC50,560000.0,nM
CHEMBL77595,N#C/C(=C\c1ccccc1)C(=O)O,IC50,850000.0,nM
CHEMBL77595,N#C/C(=C\c1ccccc1)C(=O)O,Ki,2500000.0,nM
CHEMBL309334,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c(O)c1,IC50,2500.0,nM
CHEMBL309334,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c(O)c1,Ki,,nM
CHEMBL310514,N#CC(C#N)=Cc1ccc[nH]1,IC50,260000.0,nM
CHEMBL304971,Cc1c(C(=O)N2CCN(C)CC2)c[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,410.0,nM
CHEMBL69071,Cc1cc(C(=O)N2CC(C)NC(C)C2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,5.9,nM
CHEMBL69071,Cc1cc(C(=O)N2CC(C)NC(C)C2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,2580.0,nM
CHEMBL137534,CN(C)CC/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,IC50,38.0,nM
